진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,서초구,남,90~99세,95,1637,137972470
2023,서울,서초구,남,100세 이상,0,0,0
2023,서울,서초구,여,0~9세,0,0,0
2023,서울,서초구,여,10~19세,0,0,0
2023,서울,서초구,여,20~29세,0,0,0
2023,서울,서초구,여,30~39세,0,0,0
2023,서울,서초구,여,40~49세,0,0,0
2023,서울,서초구,여,50~59세,45,163,22661660
2023,서울,서초구,여,60~69세,215,843,108240080
2023,서울,서초구,여,70~79세,749,4943,545118520
2023,서울,서초구,여,80~89세,1269,21012,1941994840
2023,서울,서초구,여,90~99세,398,12651,1087767690
2023,서울,서초구,여,100세 이상,15,580,50270080
2023,서울,노원구,남,0~9세,0,0,0
2023,서울,노원구,남,10~19세,0,0,0
2023,서울,노원구,남,20~29세,0,0,0
2023,서울,노원구,남,30~39세,0,0,0
2023,서울,노원구,남,40~49세,0,0,0
2023,서울,노원구,남,50~59세,11,194,23460220
2023,서울,노원구,남,60~69세,157,1232,104357650
2023,서울,노원구,남,70~79세,446,3656,334991580
2023,서울,노원구,남,80~89세,817,9876,929540500
2023,서울,노원구,남,90~99세,135,2977,252044440
2023,서울,노원구,남,100세 이상,0,0,0
2023,서울,노원구,여,0~9세,0,0,0
2023,서울,노원구,여,10~19세,0,0,0
2023,서울,노원구,여,20~29세,0,0,0
2023,서울,노원구,여,30~39세,0,0,0
2023,서울,노원구,여,40~49세,0,0,0
2023,서울,노원구,여,50~59세,23,143,18300260
2023,서울,노원구,여,60~69세,226,2027,193889720
2023,서울,노원구,여,70~79세,942,7428,715392210
2023,서울,노원구,여,80~89세,2208,31953,2870645310
2023,서울,노원구,여,90~99세,589,15090,1252318850
2023,서울,노원구,여,100세 이상,15,189,16968990
2023,서울,광진구,남,0~9세,0,0,0
2023,서울,광진구,남,10~19세,0,0,0
2023,서울,광진구,남,20~29세,0,0,0
2023,서울,광진구,남,30~39세,0,0,0
2023,서울,광진구,남,40~49세,0,0,0
2023,서울,광진구,남,50~59세,13,51,6370430
2023,서울,광진구,남,60~69세,91,485,66546500
2023,서울,광진구,남,70~79세,310,1800,202207480
2023,서울,광진구,남,80~89세,538,3682,336107020
2023,서울,광진구,남,90~99세,65,492,36329310
2023,서울,광진구,남,100세 이상,0,0,0
2023,서울,광진구,여,0~9세,0,0,0
2023,서울,광진구,여,10~19세,0,0,0
2023,서울,광진구,여,20~29세,0,0,0
2023,서울,광진구,여,30~39세,0,0,0
2023,서울,광진구,여,40~49세,0,0,0
2023,서울,광진구,여,50~59세,25,84,10564580
2023,서울,광진구,여,60~69세,164,775,95251080
2023,서울,광진구,여,70~79세,605,6228,633082490
2023,서울,광진구,여,80~89세,1295,12205,1090443360
2023,서울,광진구,여,90~99세,326,7136,559383410
2023,서울,광진구,여,100세 이상,0,0,0
2023,서울,강북구,남,0~9세,0,0,0
2023,서울,강북구,남,10~19세,0,0,0
2023,서울,강북구,남,20~29세,0,0,0
2023,서울,강북구,남,30~39세,0,0,0
2023,서울,강북구,남,40~49세,0,0,0
2023,서울,강북구,남,50~59세,0,0,0
2023,서울,강북구,남,60~69세,49,773,64895590
2023,서울,강북구,남,70~79세,160,3537,322869230
2023,서울,강북구,남,80~89세,315,6664,557571750
2023,서울,강북구,남,90~99세,56,2115,178072680
2023,서울,강북구,남,100세 이상,0,0,0
2023,서울,강북구,여,0~9세,0,0,0
2023,서울,강북구,여,10~19세,0,0,0
2023,서울,강북구,여,20~29세,0,0,0
2023,서울,강북구,여,30~39세,0,0,0
2023,서울,강북구,여,40~49세,0,0,0
2023,서울,강북구,여,50~59세,0,0,0
2023,서울,강북구,여,60~69세,43,364,56701950
2023,서울,강북구,여,70~79세,296,6112,493167070
2023,서울,강북구,여,80~89세,879,21757,1843991280
2023,서울,강북구,여,90~99세,303,10637,898314620
2023,서울,강북구,여,100세 이상,0,0,0
2023,서울,금천구,남,0~9세,0,0,0
2023,서울,금천구,남,10~19세,0,0,0
2023,서울,금천구,남,20~29세,0,0,0
2023,서울,금천구,남,30~39세,0,0,0
2023,서울,금천구,남,40~49세,0,0,0
2023,서울,금천구,남,50~59세,0,0,0
2023,서울,금천구,남,60~69세,48,2160,242869220
2023,서울,금천구,남,70~79세,82,3324,346316100
2023,서울,금천구,남,80~89세,166,4468,437438190
2023,서울,금천구,남,90~99세,33,1955,185644070
2023,서울,금천구,남,100세 이상,0,0,0
2023,서울,금천구,여,0~9세,0,0,0
2023,서울,금천구,여,10~19세,0,0,0
2023,서울,금천구,여,20~29세,0,0,0
2023,서울,금천구,여,30~39세,0,0,0
2023,서울,금천구,여,40~49세,0,0,0
2023,서울,금천구,여,50~59세,0,0,0
2023,서울,금천구,여,60~69세,31,689,77047140
2023,서울,금천구,여,70~79세,175,4605,460029100
2023,서울,금천구,여,80~89세,451,17916,1719868290
2023,서울,금천구,여,90~99세,181,7361,724779830
2023,서울,금천구,여,100세 이상,0,0,0
2023,부산,부산남구,남,0~9세,0,0,0
2023,부산,부산남구,남,10~19세,0,0,0
2023,부산,부산남구,남,20~29세,0,0,0
2023,부산,부산남구,남,30~39세,0,0,0
2023,부산,부산남구,남,40~49세,0,0,0
2023,부산,부산남구,남,50~59세,0,0,0
2023,부산,부산남구,남,60~69세,45,1835,152516620
2023,부산,부산남구,남,70~79세,224,9831,811064180
2023,부산,부산남구,남,80~89세,385,21017,1780509360
2023,부산,부산남구,남,90~99세,71,4398,358376070
2023,부산,부산남구,남,100세 이상,0,0,0
2023,부산,부산남구,여,0~9세,0,0,0
